Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time_Preference,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home,Desired_Room_Attributes,Study_Time_Preference,Conflict_Handling_Method,Communication_Preference_with_Roommate,Age,id,cluster_label
at any time,Very early,Late night,Some,Rarely,Science,No,Background noise,Share freely,Disorganized,Social & quiet,Background noise,Blunt,Face-to-face,19,140,1.0
at any time,at any time,Morning,Some,Rarely,Medicine,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Hint jokingly,Face-to-face,19,141,1.0
Around midnight,Somewhat early,Evening,Very little,Rarely,Science,Yes,High noise tolerance,Ask before sharing,Neat,Social & quiet,Background noise,Hint jokingly,Face-to-face,19,142,1.0
Around midnight,at any time,Evening,Some,Rarely,Business,Maybe,Background noise,Ask before sharing,Clean and organized,Social & quiet,No preference,Blunt,Face-to-face,21,143,0.0
After midnight,Somewhat early,Morning,Significant,Sometimes,Medicine,No,Very quiet,Ask before sharing,Cluttered,Social & quiet,Total quiet,Blunt,Face-to-face,18,144,1.0
Around midnight,Somewhat early,Evening,Significant,Sometimes,Engineering,No,Background noise,Ask before sharing,Neat,Social gathering,Background noise,Calm,Face-to-face,19,145,0.0
After midnight,Somewhat early,Evening,Some,Sometimes,Dentistry,Maybe,Background noise,Ask before sharing,Neat,Social & quiet,No preference,Blunt,Face-to-face,20,146,0.0
at any time,Somewhat early,Evening,Significant,Sometimes,Pharmacy,Yes,Very quiet,Prefer personal items,Clean and organized,Study oriented,Total quiet,Avoid conflict,Face-to-face,19,147,1.0
at any time,Somewhat early,Late night,Some,Often,Medicine,Yes,Very quiet,Share freely,Neat,Social & quiet,No preference,Avoid conflict,Face-to-face,19,148,1.0
Around midnight,Very early,Morning,Significant,Sometimes,Medicine,No,Very quiet,Share freely,Clean and organized,Study oriented,Total quiet,Hint jokingly,Face-to-face,20,149,1.0
Before midnight,Somewhat early,Evening,Some,Sometimes,Nursing,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,Total quiet,Calm,Face-to-face,18,150,1.0
