Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id,cluster_label
0.0,1.0,0.0,1.0,2.0,2,2,2,0,3,2,2,1,0,-0.5052159429226737,238,0
1.0,1.0,2.0,0.0,1.0,3,2,2,0,0,2,2,1,0,1.0624844375404108,239,0
2.0,2.0,2.0,1.0,2.0,5,2,2,0,3,2,2,0,0,-0.5052159429226737,240,1
3.0,1.0,2.0,0.0,2.0,5,2,2,0,0,2,2,3,0,-1.289066133154216,241,1
2.0,2.0,3.0,2.0,1.0,2,2,2,0,0,2,2,2,2,-1.289066133154216,242,0
2.0,2.0,2.0,1.0,1.0,8,2,2,1,0,2,2,1,0,-0.5052159429226737,243,1
1.0,0.0,0.0,2.0,0.0,5,2,2,1,0,2,2,2,0,-0.5052159429226737,244,1
2.0,2.0,2.0,2.0,2.0,2,2,2,0,3,2,2,0,2,-1.289066133154216,245,0
0.0,1.0,0.0,2.0,2.0,5,2,2,1,0,2,2,2,0,-0.5052159429226737,246,1
1.0,1.0,2.0,2.0,1.0,5,2,2,0,3,2,1,3,0,-0.5052159429226737,247,1
0.0,0.0,1.0,1.0,2.0,1,2,0,0,0,0,2,3,0,-0.5052159429226737,248,0
2.0,2.0,2.0,1.0,1.0,5,2,0,0,3,0,1,3,0,-0.5052159429226737,249,1
1.0,1.0,1.0,1.0,2.0,5,1,2,0,0,2,2,0,0,0.2786342473088685,250,1
2.0,0.0,2.0,2.0,3.0,3,2,0,0,3,0,0,1,0,-1.289066133154216,251,0
2.0,2.0,0.0,2.0,2.0,5,2,2,0,3,2,2,2,0,-0.5052159429226737,252,1
3.0,1.0,2.0,2.0,3.0,5,2,0,0,3,2,0,2,2,-0.5052159429226737,253,1
0.0,1.0,0.0,2.0,1.0,1,2,2,0,3,2,2,0,0,0.2786342473088685,254,0
